id,x,y,total_work,remaining_work
0,72.36300845577708,16.835322211623364,10.0,10.0
1,81.51693396540814,25.369066736721027,5.0,5.0
2,87.58576238711385,36.3138586234316,10.0,10.0
3,89.97543451096368,48.59834538503477,15.0,15.0
4,88.4520325796505,61.020035866252684,10.0,10.0
5,83.16467778837664,72.36300845577708,10.0,10.0
6,74.63093326327898,81.51693396540814,10.0,10.0
7,63.68614137656841,87.58576238711385,10.0,10.0
8,51.40165461496523,89.97543451096368,10.0,10.0
9,38.979964133747316,88.4520325796505,15.0,15.0
10,27.636991544222916,83.16467778837664,5.0,5.0
11,18.48306603459186,74.63093326327898,15.0,15.0
12,12.414237612886147,63.68614137656841,5.0,5.0
13,10.024565489036313,51.40165461496524,10.0,10.0
14,11.547967420349487,38.979964133747316,5.0,5.0
15,16.835322211623364,27.636991544222923,5.0,5.0
16,25.369066736721024,18.48306603459186,15.0,15.0
17,36.313858623431585,12.414237612886147,10.0,10.0
18,48.59834538503476,10.024565489036313,15.0,15.0
19,61.020035866252684,11.547967420349487,15.0,15.0
