id,x,y,total_work,remaining_work
0,85.05854671820998,93.13660049811006,10.0,10.0
1,45.15649555251002,16.6936956346035,10.0,10.0
2,24.87359754741192,59.164527617394924,5.0,5.0
3,58.41534063220024,32.67279481515288,10.0,10.0
4,66.36881297454238,71.13893935456872,15.0,15.0
5,1.466833334416151,44.84861046075821,10.0,10.0
6,31.23420588672161,80.86784910410643,10.0,10.0
7,89.77602049708366,4.6263485215604305,10.0,10.0
8,98.75515941530466,50.98257288336754,10.0,10.0
9,33.969239704310894,27.46821427717805,10.0,10.0
10,10.45379200950265,98.28472351655364,15.0,15.0
11,69.0990780480206,24.721536599099636,5.0,5.0
12,54.89598158746958,85.52311211824417,15.0,15.0
13,15.110181085765362,11.770704481750727,5.0,5.0
14,41.64190450683236,64.02662685140967,10.0,10.0
15,75.28730975463986,40.323047153651714,5.0,5.0
16,79.59790239110589,66.47441117092967,5.0,5.0
17,38.237683940678835,43.3575289323926,15.0,15.0
18,17.907101847231388,82.50233940780163,10.0,10.0
19,53.10308914631605,9.33662923052907,15.0,15.0
