id,x,y,total_work,remaining_work
0,24.392204901912187,19.271498080538485,5.0,5.0
1,35.1411689088093,12.862214139727385,15.0,15.0
2,47.344618830475916,10.08823543308894,10.0,10.0
3,59.807995962144055,11.221098323875054,5.0,5.0
4,71.3112981127114,16.149910299215698,5.0,5.0
5,80.72850191946151,24.392204901912187,5.0,5.0
6,87.13778586027261,35.14116890880929,15.0,15.0
7,89.91176456691106,47.344618830475916,5.0,5.0
8,88.77890167612495,59.807995962144055,15.0,15.0
9,83.85008970078431,71.3112981127114,15.0,15.0
10,75.60779509808782,80.72850191946151,15.0,15.0
11,64.85883109119071,87.13778586027261,5.0,5.0
12,52.655381169524084,89.91176456691106,15.0,15.0
13,40.19200403785595,88.77890167612495,10.0,10.0
14,28.6887018872886,83.85008970078431,5.0,5.0
15,19.271498080538493,75.60779509808782,5.0,5.0
16,12.862214139727392,64.85883109119071,5.0,5.0
17,10.08823543308894,52.65538116952409,5.0,5.0
18,11.221098323875054,40.19200403785595,5.0,5.0
19,16.14991029921569,28.68870188728861,15.0,15.0
