id,x,y,total_work,remaining_work
0,50.0,50.0,5.0,5.0
1,59.09385522783673,51.22976559186539,15.0,15.0
2,39.34217469158978,57.404850594508275,10.0,10.0
3,53.49890501699852,34.49550895290687,5.0,5.0
4,59.11422403822922,65.93025503386944,5.0,5.0
5,30.455337237042084,43.75029688215564,5.0,5.0
6,70.41169157275628,40.58586142903097,15.0,15.0
7,40.61179716956162,72.39051879312034,5.0,5.0
8,41.23168297666857,25.57049269623572,15.0,15.0
9,74.36058432879767,62.82406596995051,15.0,15.0
10,21.93450239269289,57.3778795878039,15.0,15.0
11,66.47777123803994,24.41096241550871,5.0,5.0
12,55.36328123069968,81.3330740628796,15.0,15.0
13,23.854374880542178,29.723335352725297,10.0,10.0
14,84.22046006448953,47.1879755698554,5.0,5.0
15,25.847422114579462,76.07318308579788,5.0,5.0
16,50.20364367773979,13.294047481298783,5.0,5.0
17,75.40281881695975,78.04060882935919,5.0,5.0
18,11.235412879525335,46.38112461345516,5.0,5.0
19,81.87856356830497,25.8389324569145,15.0,15.0
